1033:16,scr_encountersetup_slash_scr_encountersetup_gml_1450_0
1041:13,obj_titan_enemy_slash_Step_0_gml_796_0
1041:15,obj_titan_enemy_slash_Step_0_gml_815_0
1041:21,obj_titan_enemy_slash_Step_0_gml_852_0
1041:22,obj_titan_enemy_slash_Step_0_gml_871_0
1041:29,obj_titan_enemy_slash_Step_0_gml_966_0
1041:35,obj_titan_enemy_slash_Step_0_gml_1002_0
1041:41,obj_titan_enemy_slash_Step_0_gml_1027_0
1041:44,obj_titan_enemy_slash_Step_0_gml_1047_0
1041:46,obj_titan_enemy_slash_Step_0_gml_1067_0
1041:49,obj_titan_enemy_slash_Step_0_gml_1106_0
1041:53,obj_titan_enemy_slash_Step_0_gml_1126_0
1041:55,obj_titan_enemy_slash_Step_0_gml_1207_0
1041:55,obj_titan_enemy_slash_Step_0_gml_1209_0
1042:6,obj_titan_enemy_slash_Step_0_gml_1549_0
1042:12,obj_titan_enemy_slash_Step_0_gml_1244_0
1042:13,obj_titan_enemy_slash_Step_0_gml_1264_0
1042:14,obj_titan_enemy_slash_Step_0_gml_1283_0
1042:17,obj_titan_enemy_slash_Step_0_gml_1302_0
1042:18,obj_titan_enemy_slash_Step_0_gml_1323_0
1042:40,obj_titan_enemy_slash_Step_0_gml_1346_0
1042:41,obj_titan_enemy_slash_Step_0_gml_1365_0
1042:42,obj_titan_enemy_slash_Step_0_gml_1384_0
1042:44,obj_titan_enemy_slash_Step_0_gml_1403_0
1042:46,obj_titan_enemy_slash_Step_0_gml_1422_0
1042:47,obj_titan_enemy_slash_Step_0_gml_1464_0
1042:49,obj_titan_enemy_slash_Step_0_gml_1491_0
1042:55,obj_titan_enemy_slash_Step_0_gml_1600_0
1043:1,obj_titan_enemy_slash_Step_0_gml_1627_0
1043:2,obj_titan_enemy_slash_Step_0_gml_1643_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_48_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_49_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_78_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_79_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_100_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_101_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_140_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_159_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_160_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_161_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_162_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_223_0
1043:35,obj_ch4_DCC02_slash_Step_0_gml_250_0
1044:19,scr_prophecytext_slash_scr_prophecytext_gml_104_0
1044:19,scr_prophecytext_slash_scr_prophecytext_gml_107_0
1044:19,scr_prophecytext_slash_scr_prophecytext_gml_113_0
1044:20,obj_ch4_DCC03_slash_Step_0_gml_99_0
1044:20,obj_ch4_DCC03_slash_Step_0_gml_111_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_175_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_214_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_220_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_226_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_237_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_272_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_273_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_290_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_306_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_312_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_313_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_314_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_329_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_330_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_359_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_360_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_383_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_384_0
1044:46,obj_ch4_DCC03_slash_Step_0_gml_385_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_497_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_498_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_499_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_500_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_501_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_523_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_524_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_525_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_526_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_527_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_528_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_529_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_530_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_556_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_564_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_585_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_586_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_587_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_588_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_589_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_609_0
1045:41,obj_ch4_DCC03_slash_Step_0_gml_610_0
1046:23,scr_text_slash_scr_text_gml_10424_0
1046:23,scr_text_slash_scr_text_gml_10425_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_659_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_660_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_671_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_672_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_673_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_674_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_675_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_676_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_677_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_678_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_679_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_680_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_681_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_682_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_683_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_684_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_725_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_726_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_727_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_728_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_729_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_730_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_731_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_808_0
1046:28,obj_ch4_DCC03_slash_Step_0_gml_809_0
1047:27,obj_readable_room1_slash_Other_10_gml_4427_0
1047:29,obj_ch4_DCC03_slash_Step_0_gml_910_0
1047:29,obj_ch4_DCC03_slash_Step_0_gml_911_0
1047:31,obj_ch4_DCC03_slash_Step_0_gml_927_0
1048:1,obj_ch4_DCC04_slash_Step_0_gml_80_0
1048:1,obj_ch4_DCC04_slash_Step_0_gml_81_0
1048:1,obj_ch4_DCC04_slash_Step_0_gml_82_0
1048:1,obj_ch4_DCC04_slash_Step_0_gml_83_0
1048:1,obj_ch4_DCC04_slash_Step_0_gml_84_0
1048:7,obj_ch4_DCC04_slash_Step_0_gml_109_0
1048:7,obj_ch4_DCC04_slash_Step_0_gml_110_0
1048:7,obj_ch4_DCC04_slash_Step_0_gml_111_0
1048:13,obj_ch4_DCC04_slash_Step_0_gml_131_0
1048:13,obj_ch4_DCC04_slash_Step_0_gml_132_0
1048:13,obj_ch4_DCC04_slash_Step_0_gml_133_0
1048:13,obj_ch4_DCC04_slash_Step_0_gml_134_0
1048:21,obj_ch4_DCC04_slash_Step_0_gml_155_0
1048:21,obj_ch4_DCC04_slash_Step_0_gml_156_0
1048:26,obj_ch4_DCC04_slash_Step_0_gml_174_0
1048:26,obj_ch4_DCC04_slash_Step_0_gml_175_0
1048:26,obj_ch4_DCC04_slash_Step_0_gml_176_0
1048:26,obj_ch4_DCC04_slash_Step_0_gml_177_0
1048:26,obj_ch4_DCC04_slash_Step_0_gml_178_0
1048:26,obj_ch4_DCC04_slash_Step_0_gml_179_0
1048:34,obj_ch4_DCC04_slash_Step_0_gml_199_0
1048:37,obj_ch4_DCC04_slash_Step_0_gml_216_0
1048:37,obj_ch4_DCC04_slash_Step_0_gml_217_0
1048:37,obj_ch4_DCC04_slash_Step_0_gml_218_0
1048:51,obj_ch4_DCC04_slash_Step_0_gml_246_0
1049:15,obj_ch4_LWF01_slash_Step_0_gml_101_0
1049:15,obj_ch4_LWF01_slash_Step_0_gml_117_0
1049:15,obj_ch4_LWF01_slash_Step_0_gml_118_0
1049:15,obj_ch4_LWF01_slash_Step_0_gml_130_0
1049:15,obj_ch4_LWF01_slash_Step_0_gml_143_0
1049:15,obj_ch4_LWF01_slash_Step_0_gml_155_0
1049:15,obj_ch4_LWF01_slash_Step_0_gml_156_0
1049:15,obj_ch4_LWF01_slash_Step_0_gml_172_0
1049:46,obj_readable_room1_slash_Other_10_gml_3379_0
1049:46,obj_readable_room1_slash_Other_10_gml_3380_0
1049:46,obj_readable_room1_slash_Other_10_gml_3385_0
1049:46,obj_readable_room1_slash_Other_10_gml_3386_0
1049:52,scr_text_slash_scr_text_gml_11258_0
1049:52,scr_text_slash_scr_text_gml_11259_0
1049:52,scr_text_slash_scr_text_gml_11264_0
1049:54,scr_text_slash_scr_text_gml_11273_0
1049:54,scr_text_slash_scr_text_gml_11274_0
1049:54,scr_text_slash_scr_text_gml_11275_0
1050:18,obj_ch4_LWF02_slash_Step_0_gml_71_0
1050:28,obj_ch4_LWF02_slash_Step_0_gml_128_0
1050:28,obj_ch4_LWF02_slash_Step_0_gml_129_0
1050:28,obj_ch4_LWF02_slash_Step_0_gml_130_0
1050:41,obj_readable_room1_slash_Other_10_gml_948_0
1050:41,obj_readable_room1_slash_Other_10_gml_1819_0_b
1050:41,obj_readable_room1_slash_Other_10_gml_1829_0
1050:41,scr_susface_slash_scr_susface_gml_1_0
1050:41,obj_readable_room1_slash_Other_10_gml_1831_0
1050:53,scr_text_slash_scr_text_gml_716_0
1050:53,scr_text_slash_scr_text_gml_717_0
1050:53,scr_text_slash_scr_text_gml_718_0_b
1050:53,scr_text_slash_scr_text_gml_719_0_b
1050:53,scr_text_slash_scr_text_gml_718_0
1050:53,scr_text_slash_scr_text_gml_719_0
1050:53,scr_text_slash_scr_text_gml_720_0
1050:53,scr_text_slash_scr_text_gml_721_0
1050:53,scr_text_slash_scr_text_gml_724_0
1050:53,obj_npc_room_slash_Other_10_gml_326_0
1050:58,obj_readable_room1_slash_Other_10_gml_951_0
1051:23,obj_readable_room1_slash_Other_10_gml_1302_0
1051:23,obj_readable_room1_slash_Other_10_gml_2617_0_b
1051:23,obj_readable_room1_slash_Other_10_gml_2618_0_b
1051:23,obj_readable_room1_slash_Other_10_gml_2619_0
1051:23,obj_readable_room1_slash_Other_10_gml_2620_0
1051:23,obj_readable_room1_slash_Other_10_gml_2621_0
1051:48,obj_readable_room1_slash_Other_10_gml_4077_0
1052:4,obj_town_school_slash_Step_0_gml_18_0
1052:4,obj_town_school_slash_Step_0_gml_19_0
1053:28,obj_npc_sign_slash_Other_10_gml_81_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_71_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_118_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_163_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_165_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_167_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_168_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_169_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_171_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_172_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_173_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_175_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_221_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_240_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_270_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_272_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_306_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_307_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_322_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_327_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_332_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_371_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_372_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_395_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_399_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_404_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_405_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_409_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_411_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_491_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_506_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_507_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_508_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_548_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_564_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_584_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_585_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_586_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_602_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_614_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_655_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_656_0
1053:42,obj_ch4_LWF03_slash_Step_0_gml_657_0
1053:57,scr_torface_slash_scr_torface_gml_1_0
1053:57,scr_torface_slash_scr_torface_gml_1_0
1054:24,scr_susface_slash_scr_susface_gml_1_0
1054:38,scr_susface_slash_scr_susface_gml_1_0
1054:50,scr_torface_slash_scr_torface_gml_1_0
1054:50,scr_susface_slash_scr_susface_gml_1_0
1055:47,obj_readable_room1_slash_Other_10_gml_403_0
1055:47,obj_readable_room1_slash_Other_10_gml_422_0
1055:47,obj_readable_room1_slash_Other_10_gml_444_0
1055:47,obj_readable_room1_slash_Other_10_gml_465_0
1055:47,obj_readable_room1_slash_Other_10_gml_240_0
1055:47,obj_readable_room1_slash_Other_10_gml_320_0
1055:47,obj_readable_room1_slash_Other_10_gml_530_0_b
1055:47,obj_readable_room1_slash_Other_10_gml_550_0
1055:47,obj_readable_room1_slash_Other_10_gml_586_0_b
1055:47,obj_readable_room1_slash_Other_10_gml_587_0_b
1055:47,obj_readable_room1_slash_Other_10_gml_588_0
1055:47,obj_readable_room1_slash_Other_10_gml_589_0
1055:47,obj_readable_room1_slash_Other_10_gml_590_0
1055:47,obj_readable_room1_slash_Other_10_gml_592_0
1056:7,scr_text_slash_scr_text_gml_9696_0
1056:7,scr_text_slash_scr_text_gml_9697_0
1056:7,scr_text_slash_scr_text_gml_9701_0_b
1056:10,scr_text_slash_scr_text_gml_9720_0
1056:29,obj_overworldc_slash_Step_0_gml_113_0
1056:29,obj_overworldc_slash_Step_0_gml_114_0
