510:34,obj_room_castle_tv_zone_1_slash_Step_0_gml_22_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_206_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_207_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_22_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_23_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_270_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_271_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_277_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_278_0
512:46,scr_itemget_anytype_text_slash_scr_itemget_anytype_text_gml_36_0
512:46,obj_treasure_room_slash_Other_10_gml_76_0
512:46,obj_treasure_room_slash_Other_10_gml_65_0
512:49,obj_darkcontroller_slash_Draw_0_gml_47_0
512:50,scr_itemnamelist_slash_scr_itemnamelist_gml_38_0
512:50,scr_itemnamelist_slash_scr_itemnamelist_gml_86_0
512:50,scr_itemnamelist_slash_scr_itemnamelist_gml_123_0
512:50,scr_itemnamelist_slash_scr_itemnamelist_gml_108_0
512:50,scr_itemnamelist_slash_scr_itemnamelist_gml_89_0
512:50,scr_itemnamelist_slash_scr_itemnamelist_gml_11_0
512:50,scr_itemnamelist_slash_scr_itemnamelist_gml_117_0
512:50,scr_itemnamelist_slash_scr_itemnamelist_gml_120_0
512:50,obj_darkcontroller_slash_Draw_0_gml_837_0
512:50,obj_darkcontroller_slash_Draw_0_gml_839_0
512:50,obj_darkcontroller_slash_Draw_0_gml_841_0
512:51,scr_itemdesc_single_slash_scr_itemdesc_single_gml_1_0
512:51,scr_itemdesc_single_slash_scr_itemdesc_single_gml_39_0
512:51,scr_itemdesc_single_slash_scr_itemdesc_single_gml_87_0
512:51,scr_itemdesc_single_slash_scr_itemdesc_single_gml_152_0
512:51,scr_itemdesc_single_slash_scr_itemdesc_single_gml_113_0
512:51,scr_itemdesc_single_slash_scr_itemdesc_single_gml_90_0
512:51,scr_itemdesc_single_slash_scr_itemdesc_single_gml_11_0
512:51,scr_itemdesc_single_slash_scr_itemdesc_single_gml_146_0
512:51,scr_itemdesc_single_slash_scr_itemdesc_single_gml_149_0
513:7,scr_keyiteminfo_slash_scr_keyiteminfo_gml_2_0
513:7,scr_keyiteminfo_slash_scr_keyiteminfo_gml_3_0
513:7,scr_keyiteminfo_slash_scr_keyiteminfo_gml_13_0
513:7,scr_keyiteminfo_slash_scr_keyiteminfo_gml_14_0
513:7,scr_keyiteminfo_slash_scr_keyiteminfo_gml_70_0
513:7,scr_keyiteminfo_slash_scr_keyiteminfo_gml_71_0
513:7,scr_keyiteminfo_slash_scr_keyiteminfo_gml_9_0
513:7,scr_keyiteminfo_slash_scr_keyiteminfo_gml_10_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_374_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_375_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_376_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_377_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_378_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_392_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_397_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_398_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_399_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_400_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_401_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_415_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_59_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_60_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_61_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_62_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_64_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_81_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_82_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_83_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_84_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_86_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_105_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_106_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_107_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_108_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_109_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_127_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_128_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_129_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_130_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_132_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_145_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_149_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_150_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_151_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_152_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_154_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_167_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_171_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_172_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_173_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_174_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_176_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_189_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_194_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_195_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_196_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_197_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_198_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_211_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_215_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_216_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_217_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_218_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_220_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_237_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_238_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_239_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_240_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_242_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_255_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_260_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_261_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_262_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_263_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_264_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_277_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_305_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_306_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_307_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_308_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_309_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_323_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_328_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_329_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_330_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_331_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_332_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_346_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_351_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_352_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_353_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_354_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_355_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_369_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_420_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_421_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_422_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_423_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_424_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_443_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_444_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_445_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_446_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_447_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_461_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_467_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_468_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_469_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_470_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_471_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_485_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_490_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_491_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_492_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_493_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_494_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_513_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_514_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_515_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_516_0
513:13,scr_weaponinfo_slash_scr_weaponinfo_gml_517_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_452_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_453_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_454_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_455_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_456_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_467_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_28_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_29_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_30_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_31_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_33_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_43_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_49_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_50_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_51_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_52_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_54_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_64_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_70_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_71_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_72_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_73_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_75_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_91_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_98_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_99_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_100_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_101_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_108_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_118_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_125_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_126_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_127_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_128_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_130_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_140_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_146_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_147_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_148_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_149_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_151_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_161_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_167_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_168_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_169_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_170_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_172_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_182_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_189_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_190_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_191_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_192_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_193_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_203_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_210_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_211_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_212_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_213_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_214_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_225_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_254_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_255_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_256_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_257_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_258_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_269_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_276_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_277_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_278_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_279_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_280_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_298_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_299_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_300_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_301_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_302_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_313_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_342_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_343_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_364_0_b
513:13,scr_armorinfo_slash_scr_armorinfo_gml_364_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_365_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_366_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_367_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_368_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_386_0_b
513:13,scr_armorinfo_slash_scr_armorinfo_gml_386_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_387_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_388_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_389_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_390_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_401_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_408_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_409_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_433_0_b
513:13,scr_armorinfo_slash_scr_armorinfo_gml_430_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_431_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_432_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_433_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_434_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_459_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_491_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_492_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_493_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_494_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_495_0
513:13,scr_armorinfo_slash_scr_armorinfo_gml_505_0
513:13,obj_darkcontroller_slash_Draw_0_gml_586_0
513:13,obj_darkcontroller_slash_Draw_0_gml_587_0
513:13,obj_darkcontroller_slash_Draw_0_gml_588_0
513:13,obj_darkcontroller_slash_Draw_0_gml_803_0
513:37,scr_roomname_slash_scr_roomname_gml_29_0
